,count,mean,std,min,25%,50%,75%,max
VIIRS_M11,194395.0,1982.19287109375,1230.1387939453125,-38.0,1066.0,1753.0,2658.0,14464.0
VIIRS_I2,194321.0,3420.074951171875,2027.78076171875,-100.0,1995.0,2674.0,4365.0,14306.0
VIIRS_I1,194321.0,2594.1923828125,2357.6611328125,-100.0,885.0,1570.0,3748.0,13990.0
NDVI,194471.0,3258.89599609375,2029.8380126953125,-6358.0,1879.0,2801.0,4811.0,9961.0
EVI2,194471.0,1697.255615234375,1074.0650634765625,-1795.0,1034.0,1463.0,2282.0,8896.0
Total_Precip,200000.0,0.9569660425186157,3.8142292499542236,0.0,0.0,0.0,0.0,80.30000305175781
Wind_Speed,200000.0,3.886014461517334,1.8481734991073608,0.30000001192092896,2.5999999046325684,3.5999999046325684,4.800000190734863,13.0
Wind_Direction,200000.0,236.47271728515625,91.49885559082031,0.0,185.0,261.0,305.0,360.0
Min_Temp_K,200000.0,271.9282531738281,6.326768398284912,244.3000030517578,267.70001220703125,272.20001220703125,276.79998779296875,290.0
Max_Temp_K,200000.0,285.8365783691406,7.427601337432861,258.1000061035156,280.6000061035156,285.79998779296875,290.79998779296875,309.3999938964844
ERC,200000.0,36.150856018066406,17.132802963256836,0.0,25.0,33.0,42.0,92.0
Spec_Hum,200000.0,0.003251706250011921,0.0011289841495454311,0.0006000000284984708,0.002409999957308173,0.0031500000040978193,0.003969999961555004,0.007449999917298555
PDSI,200000.0,5.636830806732178,6.088367938995361,0.0,1.0341196358203888,3.467664957046509,8.390335321426392,53.8011474609375
Slope,200000.0,171.3838653564453,101.58741760253906,-0.0,86.02803421020508,170.41393280029297,259.4922180175781,359.7975769042969
Aspect,200000.0,1444.8984375,887.5469970703125,10.0,722.0,1527.0,2117.0,4111.0
Elevation,200000.0,-1.509519338607788,1.7030127048492432,-5.610000133514404,-2.9600000381469727,-1.649999976158142,-0.550000011920929,3.4000000953674316
Landcover,200000.0,9.43274974822998,2.3703157901763916,1.0,9.0,10.0,10.0,17.0
Forecast_Precip,200000.0,13.873286247253418,21.14452362060547,0.0,1.0,6.1875,17.125,163.4375
Forecast_Wind_Speed,200000.0,1.688957929611206,1.1268916130065918,0.007775377947837114,0.8264385461807251,1.4585802555084229,2.3046457767486572,9.372053146362305
Forecast_Wind_Dir,200000.0,-4.363682746887207,45.62712478637695,-89.9322738647461,-45.89818572998047,1.270630121231079,31.02012062072754,89.9728012084961
Forecast_Temp_C,200000.0,4.5778608322143555,6.431696891784668,-13.984883308410645,0.23092712461948395,4.081089019775391,8.873788833618164,22.84697914123535
Forecast_Spec_Hum,200000.0,0.003782666055485606,0.0009867915650829673,0.0015555561985820532,0.003000374184921384,0.0036937957629561424,0.004527345299720764,0.006490692030638456
Active_Fire,200000.0,0.0032649999484419823,0.2567569613456726,0.0,0.0,0.0,0.0,22.0
Year,200000.0,2020.5,0.5000012500046875,2020.0,2020.0,2020.5,2021.0,2021.0
