feature,r_pointbiserial,p_value
PDSI,0.025777712404202343,1.5103473685350483e-28
ERC,0.02025667710669858,3.065268836535808e-18
NDVI,0.00845409803740868,0.0002786410757212499
Min_Temp_K,0.008406973180834863,0.00030135941429452627
Wind_Direction,0.006667592767439801,0.004152267021054208
Aspect,0.005107750753894733,0.028107702825766585
VIIRS_M11,0.004304197155824458,0.06426523511801434
VIIRS_I1,0.003864890495752897,0.09661710657105768
Forecast_Temp_C,0.0030016858259097686,0.19691374090042743
Max_Temp_K,0.002419107331238886,0.2983635929003101
Forecast_Wind_Dir,-0.0006299585589860444,0.7865354426973158
Slope,-0.0016982980906077281,0.46534123005119615
Total_Precip,-0.004017981944291486,0.08411506163541871
Forecast_Precip,-0.004966594679551779,0.03275306439598015
Wind_Speed,-0.006901911781057041,0.0030063209356749237
Spec_Hum,-0.007204459663440028,0.0019538589405474383
Forecast_Spec_Hum,-0.011042137616261959,2.06417661090183e-06
Forecast_Wind_Speed,-0.011290845651793743,1.2101749165813637e-06
VIIRS_I2,-0.011599599717944668,6.141698217102358e-07
EVI2,-0.014424905118694542,5.595248674533139e-10
Elevation,-0.02439240029772623,9.851589864052152e-26
