feature,r_pointbiserial,p_value
NDVI,0.024300513533856344,6.653081323797405e-31
PDSI,0.02394130925973269,4.7975867556998426e-30
ERC,0.013106352508795866,4.558484330181064e-10
EVI2,0.013049174385497792,5.421257057477377e-10
VIIRS_M11,0.01237992432863062,3.907378048550437e-09
Wind_Speed,0.01227718156597042,5.2452773606489055e-09
VIIRS_I1,0.011082805228628631,1.3560925143724015e-07
Forecast_Precip,0.010001234733664334,1.9681679006198596e-06
Min_Temp_K,0.008366469742876394,6.916829454831483e-05
Slope,0.0017838944875350593,0.39620764111833406
Forecast_Wind_Dir,0.0008856609669618843,0.6735967453346248
Aspect,0.0006133040225535825,0.7705275312077183
Forecast_Temp_C,-0.0007939041260706936,0.7057443777442115
Max_Temp_K,-0.0012328325305464207,0.5576535250564096
Elevation,-0.0017899911634099196,0.39459538574214637
VIIRS_I2,-0.0056855836078068,0.006849743616654652
Forecast_Spec_Hum,-0.006396841466415523,0.0023474426418629134
Total_Precip,-0.006601497500011472,0.0016913268787490212
Wind_Direction,-0.012366858502630348,4.0569952128065365e-09
Spec_Hum,-0.012665674479167222,1.7017415852824459e-09
Forecast_Wind_Speed,-0.020184845856433084,7.931952652835703e-22
