Feature,MutualInformation
Landcover,0.014336295047042591
Forecast_Wind_Speed,0.0015981546328971419
Forecast_Spec_Hum,0.0014393899449021141
Forecast_Temp_C,0.0013577800118206307
Forecast_Wind_Dir,0.0011267986935115104
Wind_Speed,0.0010614572562798186
ERC,0.0010030972108022729
Wind_Direction,0.0007024648152956781
VIIRS_I1,0.0006041699255954214
Max_Temp_K,0.0005710444204419796
VIIRS_M11,0.0003934337341549021
Min_Temp_K,0.0003873386431816339
NDVI,0.0003744671934923227
Forecast_Precip,0.00036352180212551044
PDSI,0.00031573749303659415
Elevation,0.0002946243547458094
Spec_Hum,0.00028340283191463644
EVI2,0.00024450655353813744
VIIRS_I2,0.0001726607152667814
Total_Precip,0.00016046650608969593
Aspect,0.00013615263578359293
Slope,7.11350326476623e-05
