feature,r_pointbiserial,p_value
VIIRS_M11,0.019258604159218425,5.4911466184055317e-17
ERC,0.009753101895060082,2.22146924443656e-05
PDSI,0.007449902868655093,0.0011963605943303966
Forecast_Wind_Dir,0.005237299047753482,0.02275440096013695
Aspect,0.004802786642772299,0.03674595423965435
Forecast_Wind_Speed,0.004165471244131246,0.07007506061591734
NDVI,0.0022393983220077257,0.330137480290875
Wind_Speed,0.002084599109612153,0.364660676940502
Forecast_Temp_C,-0.0003104625884933032,0.89260452729351
Max_Temp_K,-0.00040350827047231307,0.860709084834458
Min_Temp_K,-0.00044526263096102527,0.8464663040887954
Slope,-0.0004973884076309044,0.8287564155416813
Wind_Direction,-0.0012746434391434172,0.5793749569384725
VIIRS_I1,-0.0018009103055476802,0.43353706327427477
Forecast_Precip,-0.004471264316324733,0.05184654409699281
Total_Precip,-0.004784296706108087,0.03747651469753828
EVI2,-0.0054021815613484354,0.018811958864931037
Elevation,-0.005719860688765275,0.012868528604490186
VIIRS_I2,-0.007329877001341644,0.0014348404380393055
Forecast_Spec_Hum,-0.010183472384629058,9.486884308720299e-06
Spec_Hum,-0.012053187839480964,1.5910478716653397e-07
