Feature,MutualInformation
Landcover,0.010610543458762
Wind_Speed,0.0008174856215293902
ERC,0.0006724105173180339
Wind_Direction,0.0004413028139147457
Spec_Hum,0.0003306642346928568
Max_Temp_K,0.00030911435119618247
Min_Temp_K,0.0002836599790048133
EVI2,0.00018321347200023208
Forecast_Spec_Hum,0.00012930658907939208
Elevation,0.0001113211972590955
Aspect,9.432365236017315e-05
NDVI,9.425629942727554e-05
Forecast_Wind_Dir,9.326408618948179e-05
Forecast_Temp_C,8.384236577829718e-05
VIIRS_I2,8.317031091342741e-05
VIIRS_M11,8.199427459454345e-05
PDSI,7.173946003380394e-05
Forecast_Precip,5.3173320912480726e-05
Total_Precip,4.9838610734487254e-05
Forecast_Wind_Speed,4.249355423513457e-05
VIIRS_I1,7.56687566394465e-06
Slope,0.0
