,count,missing,missing_rate,mean,std,min,max,value_counts
VIIRS_M11,337939085,7216401,0.02090768158904477,1909.553269554482,1127.3913427390228,-100.0,15985.0,{}
VIIRS_I2,337931661,7223825,0.02092919073579494,2888.649095664345,1612.9894662077227,-100.0,15985.0,{}
VIIRS_I1,337932397,7223089,0.02092705836348781,1820.9634366840537,1862.3698543928679,-100.0,15997.0,{}
NDVI,319821254,25334232,0.07339947654779562,4112.005060726827,2182.4510357737877,-9966.0,9993.0,{}
EVI2,319821116,25334370,0.07339987636760321,2099.700500826218,1031.8409120035508,-4519.0,9997.0,{}
Total_Precip,340030217,5125269,0.014849159894274431,0.4475045901715933,2.2741931408451994,0.0,122.0,{}
Wind_Speed,340030217,5125269,0.014849159894274431,3.6112223546150313,1.5933612439547162,0.4000000059604645,16.200000762939453,{}
Wind_Direction,340030217,5125269,0.014849159894274431,220.60267421468603,86.56919319070491,0.0,360.0,{}
Min_Temp_K,340030217,5125269,0.014849159894274431,282.3691699376235,26.886831375368903,242.0,311.79998779296875,{}
Max_Temp_K,340030217,5125269,0.014849159894274431,300.3560679902751,0.0,257.5,325.3999938964844,{}
ERC,340030217,5125269,0.014849159894274431,71.57112388044031,20.282888300504908,0.0,122.0,{}
Spec_Hum,340030217,5125269,0.014849159894274431,0.005316241579294793,0.0023064818900238597,0.00044999999227002263,0.018880000337958336,{}
PDSI,338713598,6441888,0.018663727685904432,6.6955449969859195,6.472484680513332,0.0,67.07324981689453,{}
Slope,338713598,6441888,0.018663727685904432,175.18540907235734,102.24271927580543,-0.0,359.8907165527344,{}
Aspect,338817234,6338252,0.018363468804896817,1456.037485224261,798.5145921993634,-84.0,4344.0,{}
Elevation,338321350,6834136,0.01980016623580481,-1.4714632084559731,1.7456373232599833,-6.71999979019165,8.279999732971191,{}
Landcover,345155486,0,0.0,8.87661342865053,3.214841046225083,1.0,17.0,"{1: 33959429, 6: 3002248, 7: 32900904, 8: 34927321, 9: 38482029, 10: 158243581, 11: 558627, 12: 15503256, 13: 8584349, 16: 8125561, 2: 1210379, 4: 116131, 5: 1093601, 14: 310063, 17: 8004802, 15: 133205}"
Forecast_Precip,345155486,0,0.0,5.434541636729193,10.302693951300897,0.0,204.1875,{}
Forecast_Wind_Speed,345155486,0,0.0,1.6957883935386733,1.2714529455485075,0.002021260093897581,14.295915603637695,{}
Forecast_Wind_Dir,345155486,0,0.0,9.011108394699233,44.636638052712854,-89.99921417236328,89.98896789550781,{}
Forecast_Temp_C,345155486,0,0.0,18.562876270276057,7.927367344843552,-13.984883308410645,39.50589370727539,{}
Forecast_Spec_Hum,345155486,0,0.0,0.005228830391161874,0.002001501992947218,0.0009803972207009792,0.014013266190886497,{}
Active_Fire,345155486,0,0.0,0.02903118277540575,0.6995396616487861,0.0,22.0,"{0: 344480528, 19: 26330, 20: 144952, 21: 136206, 9: 115607, 10: 179905, 22: 19845, 8: 30892, 7: 776, 18: 1010, 11: 19435}"
total_samples,345155486,345155486,345155486,345155486,345155486,345155486,345155486,345155486
